DATE,APU0000702111
1980-01-01,0.501
1980-02-01,0.507
1980-03-01,0.502
1980-04-01,0.507
1980-05-01,0.504
1980-06-01,0.503
1980-07-01,0.511
1980-08-01,0.507
1980-09-01,0.511
1980-10-01,0.514
1980-11-01,0.519
1980-12-01,0.519
1981-01-01,0.531
1981-02-01,0.533
1981-03-01,0.538
1981-04-01,0.519
1981-05-01,0.525
1981-06-01,0.523
1981-07-01,0.521
1981-08-01,0.519
1981-09-01,0.524
1981-10-01,0.521
1981-11-01,0.527
1981-12-01,0.521
1982-01-01,0.537
1982-02-01,0.534
1982-03-01,0.526
1982-04-01,0.526
1982-05-01,0.529
1982-06-01,0.525
1982-07-01,0.534
1982-08-01,0.534
1982-09-01,0.536
1982-10-01,0.534
1982-11-01,0.534
1982-12-01,0.537
1983-01-01,0.541
1983-02-01,0.544
1983-03-01,0.544
1983-04-01,0.538
1983-05-01,0.542
1983-06-01,0.542
1983-07-01,0.544
1983-08-01,0.539
1983-09-01,0.536
1983-10-01,0.535
1983-11-01,0.547
1983-12-01,0.547
1984-01-01,0.543
1984-02-01,0.541
1984-03-01,0.542
1984-04-01,0.536
1984-05-01,0.541
1984-06-01,0.542
1984-07-01,0.541
1984-08-01,0.543
1984-09-01,0.539
1984-10-01,0.540
1984-11-01,0.543
1984-12-01,0.544
1985-01-01,0.551
1985-02-01,0.544
1985-03-01,0.544
1985-04-01,0.544
1985-05-01,0.542
1985-06-01,0.546
1985-07-01,0.556
1985-08-01,0.553
1985-09-01,0.561
1985-10-01,0.566
1985-11-01,0.564
1985-12-01,0.568
1986-01-01,0.566
1986-02-01,0.563
1986-03-01,0.560
1986-04-01,0.561
1986-05-01,0.562
1986-06-01,0.569
1986-07-01,0.564
1986-08-01,0.570
1986-09-01,0.566
1986-10-01,0.565
1986-11-01,0.564
1986-12-01,0.566
1987-01-01,0.544
1987-02-01,0.539
1987-03-01,0.541
1987-04-01,0.542
1987-05-01,0.540
1987-06-01,0.533
1987-07-01,0.544
1987-08-01,0.546
1987-09-01,0.551
1987-10-01,0.559
1987-11-01,0.559
1987-12-01,0.571
1988-01-01,0.586
1988-02-01,0.586
1988-03-01,0.587
1988-04-01,0.595
1988-05-01,0.598
1988-06-01,0.601
1988-07-01,0.602
1988-08-01,0.619
1988-09-01,0.636
1988-10-01,0.642
1988-11-01,0.645
1988-12-01,0.657
1989-01-01,0.653
1989-02-01,0.652
1989-03-01,0.654
1989-04-01,0.655
1989-05-01,0.655
1989-06-01,0.664
1989-07-01,0.671
1989-08-01,0.674
1989-09-01,0.671
1989-10-01,0.674
1989-11-01,0.676
1989-12-01,0.688
1990-01-01,0.689
1990-02-01,0.701
1990-03-01,0.680
1990-04-01,0.686
1990-05-01,0.678
1990-06-01,0.687
1990-07-01,0.685
1990-08-01,0.713
1990-09-01,0.700
1990-10-01,0.706
1990-11-01,0.710
1990-12-01,0.700
1991-01-01,0.705
1991-02-01,0.701
1991-03-01,0.702
1991-04-01,0.701
1991-05-01,0.705
1991-06-01,0.705
1991-07-01,0.700
1991-08-01,0.714
1991-09-01,0.717
1991-10-01,0.720
1991-11-01,0.731
1991-12-01,0.717
1992-01-01,0.726
1992-02-01,0.730
1992-03-01,0.747
1992-04-01,0.746
1992-05-01,0.752
1992-06-01,0.757
1992-07-01,0.771
1992-08-01,0.776
1992-09-01,0.756
1992-10-01,0.752
1992-11-01,0.747
1992-12-01,0.738
1993-01-01,0.748
1993-02-01,0.751
1993-03-01,0.742
1993-04-01,0.744
1993-05-01,0.752
1993-06-01,0.752
1993-07-01,0.762
1993-08-01,0.745
1993-09-01,0.748
1993-10-01,0.750
1993-11-01,0.771
1993-12-01,0.760
1994-01-01,0.768
1994-02-01,0.756
1994-03-01,0.755
1994-04-01,0.765
1994-05-01,0.765
1994-06-01,0.761
1994-07-01,0.759
1994-08-01,0.753
1994-09-01,0.776
1994-10-01,0.756
1994-11-01,0.766
1994-12-01,0.748
1995-01-01,0.767
1995-02-01,0.767
1995-03-01,0.775
1995-04-01,0.776
1995-05-01,0.768
1995-06-01,0.781
1995-07-01,0.789
1995-08-01,0.797
1995-09-01,0.808
1995-10-01,0.809
1995-11-01,0.821
1995-12-01,0.837
1996-01-01,0.860
1996-02-01,0.858
1996-03-01,0.852
1996-04-01,0.865
1996-05-01,0.869
1996-06-01,0.886
1996-07-01,0.889
1996-08-01,0.915
1996-09-01,0.886
1996-10-01,0.873
1996-11-01,0.880
1996-12-01,0.875
1997-01-01,0.862
1997-02-01,0.858
1997-03-01,0.855
1997-04-01,0.855
1997-05-01,0.854
1997-06-01,0.874
1997-07-01,0.872
1997-08-01,0.872
1997-09-01,0.885
1997-10-01,0.899
1997-11-01,0.897
1997-12-01,0.884
1998-01-01,0.855
1998-02-01,0.860
1998-03-01,0.853
1998-04-01,0.863
1998-05-01,0.866
1998-06-01,0.859
1998-07-01,0.867
1998-08-01,0.869
1998-09-01,0.860
1998-10-01,0.849
1998-11-01,0.855
1998-12-01,0.866
1999-01-01,0.872
1999-02-01,0.880
1999-03-01,0.883
1999-04-01,0.897
1999-05-01,0.886
1999-06-01,0.885
1999-07-01,0.893
1999-08-01,0.884
1999-09-01,0.878
1999-10-01,0.889
1999-11-01,0.899
1999-12-01,0.899
2000-01-01,0.907
2000-02-01,0.924
2000-03-01,0.924
2000-04-01,0.927
2000-05-01,0.915
2000-06-01,0.915
2000-07-01,0.935
2000-08-01,0.923
2000-09-01,0.918
2000-10-01,0.934
2000-11-01,0.953
2000-12-01,0.987
2001-01-01,0.982
2001-02-01,0.994
2001-03-01,1.020
2001-04-01,1.008
2001-05-01,0.995
2001-06-01,0.989
2001-07-01,0.987
2001-08-01,0.991
2001-09-01,0.996
2001-10-01,1.010
2001-11-01,1.012
2001-12-01,1.005
2002-01-01,1.001
2002-02-01,1.008
2002-03-01,1.012
2002-04-01,1.005
2002-05-01,1.012
2002-06-01,1.011
2002-07-01,1.015
2002-08-01,1.012
2002-09-01,1.016
2002-10-01,1.015
2002-11-01,1.054
2002-12-01,1.026
2003-01-01,1.042
2003-02-01,1.048
2003-03-01,1.042
2003-04-01,1.047
2003-05-01,1.001
2003-06-01,0.961
2003-07-01,1.002
2003-08-01,0.996
2003-09-01,0.994
2003-10-01,0.969
2003-11-01,0.953
2003-12-01,0.954
2004-01-01,0.946
2004-02-01,0.943
2004-03-01,0.947
2004-04-01,0.974
2004-05-01,0.960
2004-06-01,0.979
2004-07-01,0.985
2004-08-01,0.996
2004-09-01,0.985
2004-10-01,0.972
2004-11-01,0.976
2004-12-01,0.970
2005-01-01,0.997
2005-02-01,0.982
2005-03-01,1.002
2005-04-01,1.004
2005-05-01,1.086
2005-06-01,1.090
2005-07-01,1.067
2005-08-01,1.060
2005-09-01,1.052
2005-10-01,1.043
2005-11-01,1.055
2005-12-01,1.046
2006-01-01,1.046
2006-02-01,1.029
2006-03-01,1.040
2006-04-01,1.072
2006-05-01,1.086
2006-06-01,1.074
2006-07-01,1.071
2006-08-01,1.088
2006-09-01,1.083
2006-10-01,1.097
2006-11-01,1.143
2006-12-01,1.137
2007-01-01,1.153
2007-02-01,1.168
2007-03-01,1.161
2007-04-01,1.201
2007-05-01,1.192
2007-06-01,1.193
2007-07-01,1.209
2007-08-01,1.210
2007-09-01,1.212
2007-10-01,1.274
2007-11-01,1.235
2007-12-01,1.280
2008-01-01,1.281
2008-02-01,1.321
2008-03-01,1.350
2008-04-01,1.373
2008-05-01,1.370
2008-06-01,1.373
2008-07-01,1.384
2008-08-01,1.381
2008-09-01,1.379
2008-10-01,1.393
2008-11-01,1.377
2008-12-01,1.415
2009-01-01,1.381
2009-02-01,1.404
2009-03-01,1.410
2009-04-01,1.395
2009-05-01,1.413
2009-06-01,1.385
2009-07-01,1.391
2009-08-01,1.375
2009-09-01,1.340
2009-10-01,1.392
2009-11-01,1.373
2009-12-01,1.390
2010-01-01,1.360
2010-02-01,1.361
2010-03-01,1.368
2010-04-01,1.363
2010-05-01,1.359
2010-06-01,1.383
2010-07-01,1.360
2010-08-01,1.372
2010-09-01,1.386
2010-10-01,1.407
2010-11-01,1.375
2010-12-01,1.386
2011-01-01,1.401
2011-02-01,1.398
2011-03-01,1.415
2011-04-01,1.420
2011-05-01,1.472
2011-06-01,1.490
2011-07-01,1.513
2011-08-01,1.474
2011-09-01,1.477
2011-10-01,1.457
2011-11-01,1.399
2011-12-01,1.420
2012-01-01,1.423
2012-02-01,1.442
2012-03-01,1.395
2012-04-01,1.426
2012-05-01,1.412
2012-06-01,1.403
2012-07-01,1.427
2012-08-01,1.407
2012-09-01,1.401
2012-10-01,1.422
2012-11-01,1.418
2012-12-01,1.436
2013-01-01,1.422
2013-02-01,1.411
2013-03-01,1.412
2013-04-01,1.409
2013-05-01,1.401
2013-06-01,1.439
2013-07-01,1.434
2013-08-01,1.408
2013-09-01,1.419
2013-10-01,1.358
2013-11-01,1.382
2013-12-01,1.385
2014-01-01,1.365
2014-02-01,1.388
2014-03-01,1.359
2014-04-01,1.388
2014-05-01,1.401
2014-06-01,1.400
2014-07-01,1.413
2014-08-01,1.396
2014-09-01,1.405
2014-10-01,1.414
2014-11-01,1.420
2014-12-01,1.466
2015-01-01,1.479
2015-02-01,1.435
2015-03-01,1.440
2015-04-01,1.454
2015-05-01,1.463
2015-06-01,1.467
2015-07-01,1.447
2015-08-01,1.420
2015-09-01,1.432
2015-10-01,1.418
2015-11-01,1.409
2015-12-01,1.428
2016-01-01,1.425
2016-02-01,1.407
2016-03-01,1.416
2016-04-01,1.406
2016-05-01,1.382
2016-06-01,1.333
2016-07-01,1.349
2016-08-01,1.341
2016-09-01,1.329
2016-10-01,1.343
2016-11-01,1.362
2016-12-01,1.362
2017-01-01,1.351
2017-02-01,1.358
2017-03-01,1.329
2017-04-01,1.328
2017-05-01,1.327
2017-06-01,1.335
2017-07-01,1.327
2017-08-01,1.348
2017-09-01,1.349
2017-10-01,1.328
2017-11-01,1.295
2017-12-01,1.316
2018-01-01,1.281
2018-02-01,1.265
2018-03-01,1.309
2018-04-01,1.281
2018-05-01,1.293
2018-06-01,1.279
2018-07-01,1.293
2018-08-01,1.302
2018-09-01,1.288
2018-10-01,1.277
2018-11-01,1.274
2018-12-01,1.290
2019-01-01,1.274
2019-02-01,1.282
2019-03-01,1.261
2019-04-01,1.285
2019-05-01,1.289
2019-06-01,1.280
2019-07-01,1.281
2019-08-01,1.275
2019-09-01,1.296
2019-10-01,1.325
2019-11-01,1.361
2019-12-01,1.363
