DATE,APU0000702421
1980-01-01,1.491
1980-02-01,1.495
1980-03-01,1.531
1980-04-01,1.537
1980-05-01,1.541
1980-06-01,1.532
1980-07-01,1.532
1980-08-01,1.600
1980-09-01,1.621
1980-10-01,1.665
1980-11-01,1.696
1980-12-01,1.703
1981-01-01,1.760
1981-02-01,1.761
1981-03-01,1.718
1981-04-01,1.671
1981-05-01,1.667
1981-06-01,1.711
1981-07-01,1.709
1981-08-01,1.723
1981-09-01,1.732
1981-10-01,1.770
1981-11-01,1.740
1981-12-01,1.768
1982-01-01,1.775
1982-02-01,1.796
1982-03-01,1.731
1982-04-01,1.787
1982-05-01,1.759
1982-06-01,1.768
1982-07-01,1.750
1982-08-01,1.732
1982-09-01,1.761
1982-10-01,1.789
1982-11-01,1.820
1982-12-01,1.797
1983-01-01,1.823
1983-02-01,1.818
1983-03-01,1.822
1983-04-01,1.870
1983-05-01,1.852
1983-06-01,1.820
1983-07-01,1.856
1983-08-01,1.836
1983-09-01,1.789
1983-10-01,1.718
1983-11-01,1.792
1983-12-01,1.815
1984-01-01,1.868
1984-02-01,1.872
1984-03-01,1.833
1984-04-01,1.844
1984-05-01,1.865
1984-06-01,1.863
1984-07-01,1.869
1984-08-01,1.882
1984-09-01,1.861
1984-10-01,1.901
1984-11-01,1.900
1984-12-01,1.933
1985-01-01,1.921
1985-02-01,1.906
1985-03-01,1.915
1985-04-01,1.938
1985-05-01,1.954
1985-06-01,1.924
1985-07-01,1.953
1985-08-01,1.952
1985-09-01,1.959
1985-10-01,1.961
1985-11-01,1.921
1985-12-01,1.968
1986-01-01,1.939
1986-02-01,1.997
1986-03-01,1.965
1986-04-01,1.956
1986-05-01,2.014
1986-06-01,2.033
1986-07-01,1.946
1986-08-01,2.012
1986-09-01,2.009
1986-10-01,1.998
1986-11-01,1.981
1986-12-01,2.030
1987-01-01,1.925
1987-02-01,1.943
1987-03-01,1.949
1987-04-01,1.984
1987-05-01,1.976
1987-06-01,2.039
1987-07-01,2.030
1987-08-01,2.011
1987-09-01,1.993
1987-10-01,2.020
1987-11-01,2.057
1987-12-01,2.045
1988-01-01,2.063
1988-02-01,2.111
1988-03-01,2.072
1988-04-01,2.138
1988-05-01,2.108
1988-06-01,2.069
1988-07-01,2.087
1988-08-01,2.177
1988-09-01,2.129
1988-10-01,2.133
1988-11-01,2.162
1988-12-01,2.209
1989-01-01,2.204
1989-02-01,2.216
1989-03-01,2.376
1989-04-01,2.315
1989-05-01,2.393
1989-06-01,2.380
1989-07-01,2.340
1989-08-01,2.377
1989-09-01,2.390
1989-10-01,2.503
1989-11-01,2.505
1989-12-01,2.558
1990-01-01,2.506
1990-02-01,2.587
1990-03-01,2.615
1990-04-01,2.623
1990-05-01,2.635
1990-06-01,2.636
1990-07-01,2.580
1990-08-01,2.682
1990-09-01,2.663
1990-10-01,2.670
1990-11-01,2.639
1990-12-01,2.523
1991-01-01,2.558
1991-02-01,2.536
1991-03-01,2.564
1991-04-01,2.565
1991-05-01,2.743
1991-06-01,2.797
1991-07-01,2.762
1991-08-01,2.754
1991-09-01,2.724
1991-10-01,2.750
1991-11-01,2.812
1991-12-01,2.755
1992-01-01,2.798
1992-02-01,2.804
1992-03-01,2.924
1992-04-01,2.877
1992-05-01,2.872
1992-06-01,2.860
1992-07-01,2.844
1992-08-01,2.851
1992-09-01,2.661
1992-10-01,2.610
1992-11-01,2.618
1992-12-01,2.546
1993-01-01,2.504
1993-02-01,2.520
1993-03-01,2.447
1993-04-01,2.421
1993-05-01,2.496
1993-06-01,2.564
1993-07-01,2.583
1993-08-01,2.408
1993-09-01,2.445
1993-10-01,2.325
1993-11-01,2.377
1993-12-01,2.426
1994-01-01,2.378
1994-02-01,2.411
1994-03-01,2.468
1994-04-01,2.464
1994-05-01,2.641
1994-06-01,2.675
1994-07-01,2.704
1994-08-01,2.601
1994-09-01,2.611
1994-10-01,2.537
1994-11-01,2.502
1994-12-01,2.541
1995-01-01,2.320
1995-02-01,2.535
1995-03-01,2.444
1995-04-01,2.489
1995-05-01,2.415
1995-06-01,2.485
1995-07-01,2.453
1995-08-01,2.471
1995-09-01,2.464
1995-10-01,2.479
1995-11-01,2.489
1995-12-01,2.576
1996-01-01,2.582
1996-02-01,2.615
1996-03-01,2.628
1996-04-01,2.754
1996-05-01,2.625
1996-06-01,2.557
1996-07-01,2.513
1996-08-01,2.464
1996-09-01,2.526
1996-10-01,2.504
1996-11-01,2.554
1996-12-01,2.614
1997-01-01,2.553
1997-02-01,2.636
1997-03-01,2.647
1997-04-01,2.582
1997-05-01,2.632
1997-06-01,2.643
1997-07-01,2.614
1997-08-01,2.612
1997-09-01,2.536
1997-10-01,2.612
1997-11-01,2.667
1997-12-01,2.633
1998-01-01,2.502
1998-02-01,2.607
1998-03-01,2.499
1998-04-01,2.505
1998-05-01,2.512
1998-06-01,2.563
1998-07-01,2.541
1998-08-01,2.588
1998-09-01,2.560
1998-10-01,2.517
1998-11-01,2.519
1998-12-01,2.577
1999-01-01,2.610
1999-02-01,2.594
1999-03-01,2.607
1999-04-01,2.564
1999-05-01,2.573
1999-06-01,2.540
1999-07-01,2.609
1999-08-01,2.602
1999-09-01,2.583
1999-10-01,2.584
1999-11-01,2.627
1999-12-01,2.673
2000-01-01,2.607
2000-02-01,2.525
2000-03-01,2.567
2000-04-01,2.523
2000-05-01,2.685
2000-06-01,2.555
2000-07-01,2.558
2000-08-01,2.628
2000-09-01,2.587
2000-10-01,2.691
2000-11-01,2.618
2000-12-01,2.537
2001-01-01,2.388
2001-02-01,2.485
2001-03-01,2.475
2001-04-01,2.503
2001-05-01,2.379
2001-06-01,2.372
2001-07-01,2.371
2001-08-01,2.423
2001-09-01,2.448
2001-10-01,2.408
2001-11-01,2.518
2001-12-01,2.511
2002-01-01,2.491
2002-02-01,2.604
2002-03-01,2.531
2002-04-01,2.578
2002-05-01,2.627
2002-06-01,2.514
2002-07-01,2.579
2002-08-01,2.534
2002-09-01,2.574
2002-10-01,2.595
2002-11-01,2.765
2002-12-01,2.736
2003-01-01,2.774
2003-02-01,2.672
2003-03-01,2.729
2003-04-01,2.777
2003-05-01,2.908
